empresa;cargo;localizacao;modalidade;contrato;pcd;data
Faça parte do time Mercantil;Assistente de Dados - RH;Belo Horiz... - MG;Presencial;Efetivo;Também p/ PcD;09/08/2023
EtheriumTech - Cloud & Data Center;Administrador de Banco de Dados - DBA;Barueri - SP;Presencial;Associado;Também p/ PcD;09/08/2023
Afya ;AFYA SP | Pessoa Estagiária em Ciências de Dados - Vaga afirmativa para Pessoas com Deficiência (PCD);São Paulo - SP;Remoto;Estágio;Também p/ PcD;08/08/2023
Seja Globalweb;ANALISTA DE BANCO DE DADOS SR;Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;08/08/2023
SindiLojas Porto Alegre;Analista de Dados - Economista;Porto Alegre - RS;Presencial;Efetivo;Não informado;08/08/2023
Vetta Tecnologia;Analista de Dados - Sênior ;Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;08/08/2023
V.tal | o futuro passa por aqui;Engenheiro de Dados I;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;08/08/2023
Itaú Unibanco;Carreiras de Dados  🧡 Exclusiva para Profissionais com Deficiência ;Sao Paulo - SP;Presencial;Efetivo;Também p/ PcD;08/08/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS    ;Não informado;Remoto;Efetivo;Também p/ PcD;08/08/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS ;Não informado;Remoto;Efetivo;Também p/ PcD;08/08/2023
Bridge & Co.;Analista de Dados Pleno/Sênior (BI) ;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;08/08/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS  ;Não informado;Remoto;Efetivo;Também p/ PcD;08/08/2023
KOVR;Analista de Dados Pleno;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;08/08/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS   ;Não informado;Remoto;Efetivo;Também p/ PcD;08/08/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS  ;Não informado;Remoto;Efetivo;Também p/ PcD;08/08/2023
CTC;Administrador de Banco de Dados (Remoto) ;Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;08/08/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS ;Não informado;Remoto;Efetivo;Também p/ PcD;08/08/2023
Lojas Renner;Analista de Dados | Insights de Negócios;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;08/08/2023
JDC Tech;Engenheiro de Dados Pleno/Sênior ;Não informado;Remoto;Pessoa Jurídica;Também p/ PcD;08/08/2023
Light;Analista de Dados Junior;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;07/08/2023
YDUQS - Vagas Tech;PESSOA ESPECIALISTA (ENGENHEIRO DE DADOS);Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;07/08/2023
MESHA TECNOLOGIA;Líder Técnico (Dados) - Híbrido ;Maceió - AL;Presencial;Efetivo;Também p/ PcD;07/08/2023
3CON | IT & Digital;Analista de Banco de Dados PostgreSQL ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;07/08/2023
